Name,Symbol,Current Price (USD),Market Cap (USD),24h Volume (USD),24h Price Change (%)
Bitcoin,btc,91977.0,1823630466276,57913008384,6.89781
Ethereum,eth,2378.94,286754473104,41179671523,7.14222
XRP,xrp,2.67,155588611524,16384609229,17.42671
Tether,usdt,0.999588,142377999153,127185748411,0.0119
BNB,bnb,602.95,87819326928,1621028868,-1.08945
Solana,sol,162.0,82296065657,14569116404,12.61954
USDC,usdc,0.999896,56352481239,13792670998,-0.00029
Cardano,ada,1.01,36145132860,8252991516,51.99452
Dogecoin,doge,0.219918,32590249207,3578070955,6.53125
Lido Staked Ether,steth,2376.72,22326000346,69735133,7.06922
TRON,trx,0.239899,20645843527,903742179,2.87819
Wrapped Bitcoin,wbtc,91589.0,11832838391,847309895,6.57719
Hedera,hbar,0.252539,10591081805,1193525554,2.76265
Chainlink,link,16.28,10376297164,1123696059,10.14189
Stellar,xlm,0.333868,10282251126,755654947,3.22065
Wrapped stETH,wsteth,2838.14,10101375511,40863179,6.83589
Avalanche,avax,23.63,9792838778,878281872,7.86906
Sui,sui,2.97,9413795753,1532479981,3.61177
LEO Token,leo,10.0,9243503673,7113709,2.29095
Litecoin,ltc,117.91,8924046770,1917406599,-3.55396
Shiba Inu,shib,1.414e-05,8334565098,405668493,3.32373
Toncoin,ton,3.34,8322828201,227430605,1.39465
USDS,usds,0.99903,7913269190,86778162,-0.1054
Polkadot,dot,4.94,7526379414,406032728,6.38445
MANTRA,om,7.52,7333001360,196207809,0.34381
WETH,weth,2375.83,6851030475,1632209527,6.9864
Hyperliquid,hype,19.72,6589334308,312586259,-0.56586
Bitcoin Cash,bch,316.89,6284835395,371177384,-0.11674
Bitget Token,bgb,4.65,5559266446,494136148,13.4025
Ethena USDe,usde,0.999046,5456343875,103712660,0.04294
Wrapped eETH,weeth,2522.79,4858515729,28920992,7.11348
Uniswap,uni,7.88,4727712610,338389349,5.30507
WhiteBIT Coin,wbt,30.73,4432288622,104777010,15.97142
Monero,xmr,228.7,4214218979,71231825,1.09992
NEAR Protocol,near,3.29,3913638679,328479539,0.4322
Aptos,apt,6.26,3690498755,313860193,0.56193
Ondo,ondo,1.13,3574450513,367623424,11.37837
Pepe,pepe,8.33e-06,3505078826,1302723556,8.32455
Dai,dai,0.999165,3301400273,244892510,-0.05935
Internet Computer,icp,6.83,3288669981,128525681,2.74253
Aave,aave,208.18,3137598361,453316454,7.28281
Official Trump,trump,15.29,3061339121,4245268419,9.91666
Ethereum Classic,etc,20.03,3021839585,211585918,4.37206
sUSDS,susds,1.043,2985353786,1394828,0.16101
Bittensor,tao,333.96,2815928953,220616842,-1.88486
OKB,okb,46.54,2795151356,16140614,1.18433
Gate,gt,21.97,2757390372,26287124,4.42909
Coinbase Wrapped BTC,cbbtc,91852.0,2623701819,515321297,6.6646
Mantle,mnt,0.762946,2567932841,68475914,3.12731
POL (ex-MATIC),pol,0.28488,2447932795,160187392,2.09092
